"";"CD_MUNIC";"ano";"Pop";"Obitos";"PopPad";"Obtadj";"tx";"txadj"
"73";120070;2013;17021;3,3;1e+06;200,831151195412;19,3878150519946;20,0831151195412
"74";120080;2013;16029;5,1;1e+06;341,388035493836;31,8173310874041;34,1388035493836
"75";130002;2013;15166;0,8;1e+06;64,586710239311;5,27495714097323;6,4586710239311
"76";130006;2013;10436;0,6;1e+06;60,27535511191;5,74932924492143;6,027535511191
"77";130008;2013;11636;0,4;1e+06;34,7330175903632;3,43760742523204;3,47330175903632
"78";130010;2013;18351;1,8;1e+06;96,9176451621776;9,80872976949485;9,69176451621776
"79";130014;2013;19860;5,5;1e+06;287,018225493084;27,6938569989929;28,7018225493084
"80";130020;2013;17174;1,5;1e+06;73,0209952611632;8,73413299173169;7,30209952611632
"81";130030;2013;35554;4,6;1e+06;148,340071996318;12,9380660403893;14,8340071996318
"82";130040;2013;27110;13,8;1e+06;469,507988841431;50,9037255625231;46,9507988841431
"83";130050;2013;29737;1,4;1e+06;47,724082990967;4,70793960386051;4,7724082990967
"84";130060;2013;37564;5,2;1e+06;159,87832096195;13,8430412096688;15,987832096195
"85";130063;2013;17332;1,1;1e+06;82,9662995033943;6,34664204938842;8,29662995033943
"86";130068;2013;16820;2,1;1e+06;127,597187020298;12,4851367419738;12,7597187020298
"87";130070;2013;32792;7,1;1e+06;240,779111021028;21,6516223469139;24,0779111021028
"88";130080;2013;38073;5;1e+06;137,460313777804;13,1326661938907;13,7460313777804
"89";130083;2013;12004;0,7;1e+06;75,5190533351455;5,83138953682106;7,55190533351455
"90";130090;2013;14754;1,8;1e+06;136,34727987218;12,2000813338756;13,634727987218
"91";130100;2013;27405;4,3;1e+06;176,404258240914;15,6905674147053;17,6404258240914
"92";130110;2013;35431;6,4;1e+06;210,025493311897;18,0632779204651;21,0025493311897
"93";130115;2013;26722;0,6;1e+06;25,650051109419;2,24534091759599;2,5650051109419
"94";130120;2013;81325;30;1e+06;370,789537253277;36,8890255149093;37,0789537253277
"95";130130;2013;25696;2,9;1e+06;117,845685986024;11,285803237858;11,7845685986024
"96";130140;2013;33127;11,3;1e+06;364,703630851478;34,1111480061581;36,4703630851478
"97";130150;2013;18051;2,9;1e+06;161,510341811253;16,0655919339649;16,1510341811253
"98";130160;2013;21859;2,8;1e+06;132,055684585314;12,8093691385699;13,2055684585314
"99";130165;2013;15291;2,2;1e+06;176,978952682135;14,3875482309855;17,6978952682135
"100";130170;2013;49137;6,9;1e+06;145,393148991041;14,042371329141;14,5393148991041
"101";130180;2013;25362;0,7;1e+06;36,0899878913663;2,76003469757906;3,60899878913663
"102";130185;2013;44503;14,7;1e+06;349,105138789918;33,0314810237512;34,9105138789918
"103";130190;2013;94278;18,1;1e+06;202,115178880522;19,1985404866459;20,2115178880522
"104";130195;2013;8232;0,2;1e+06;24,9296428498634;2,42954324586978;2,49296428498634
"105";130200;2013;8774;1,1;1e+06;121,531852691401;12,5370412582631;12,1531852691401
"106";130210;2013;6083;0,3;1e+06;46,248788151799;4,93177708367582;4,6248788151799
"107";130220;2013;12408;0,9;1e+06;83,0608691817932;7,25338491295938;8,30608691817932
"108";130230;2013;17376;1,3;1e+06;104,830772476859;7,48158379373849;10,4830772476859
"109";130240;2013;41600;5,4;1e+06;142,195241685132;12,9807692307692;14,2195241685132
"110";130250;2013;91795;25,1;1e+06;280,982538483461;27,3435372296966;28,0982538483461
"111";130255;2013;26530;2,2;1e+06;95,3007779089573;8,29249905767056;9,53007779089573
